email,name,role,team_name,team_role
cso@worldwidebank.com,Chief Surveillance Officer,surveillance_chief,,
director.amer@worldwidebank.com,Americas Regional Director,regional_director,,
director.emea@worldwidebank.com,EMEA Regional Director,regional_director,,
director.apac@worldwidebank.com,APAC Regional Director,regional_director,,
compliance@worldwidebank.com,Chief Compliance Officer,compliance_officer,,
audit@worldwidebank.com,Senior Audit Officer,compliance_officer,,
manager.equities@worldwidebank.com,Equities Desk Manager,,US Equities Desk,desk_surveillance_manager
manager.fx@worldwidebank.com,FX Desk Manager,,FX Trading Desk,desk_surveillance_manager
senior.analyst@worldwidebank.com,Senior Surveillance Analyst,,US Equities Desk,senior_analyst
senior.fx@worldwidebank.com,Senior FX Analyst,,FX Trading Desk,senior_analyst
analyst.equities@worldwidebank.com,Equities Surveillance Analyst,,US Equities Desk,surveillance_analyst
analyst.fx@worldwidebank.com,FX Surveillance Analyst,,FX Trading Desk,surveillance_analyst
analyst.commodities@worldwidebank.com,Commodities Analyst,,Commodities Desk,surveillance_analyst
junior.analyst@worldwidebank.com,Junior Surveillance Analyst,,US Equities Desk,junior_analyst
trainee@worldwidebank.com,Surveillance Trainee,,FX Trading Desk,junior_analyst
