email,team_name,team_role,name
cso@worldwidebank.com,Global Surveillance,surveillance_chief,Susan Martinez (CSO)
director.apac.surv@worldwidebank.com,APAC Surveillance,regional_director,Head of APAC Surveillance (SH)
head.sg.surv@worldwidebank.com,SG Desk,surveillance_country_lead,Head of SG (Bonds Lead)
analyst.sg.wealth@worldwidebank.com,SG Desk,surveillance_analyst,SG Bonds Analyst (SA)
guest.auditor@worldwidebank.com,SG Desk,guest_analyst,External Auditor (Guest)
liaison.sg.mas@worldwidebank.com,SG Desk,compliance_officer,MAS Liaison Officer (LCO)
surv.ops.apac@worldwidebank.com,SG Desk,surveillance_ops,Surveillance Ops (SurvOps)
head.my.surv@worldwidebank.com,MY Desk,surveillance_country_lead,Head of MY (Wealth Lead)
analyst.my.wealth@worldwidebank.com,MY Desk,surveillance_analyst,MY Wealth Analyst (SA)
analyst.global.forensic@worldwidebank.com,Global Surveillance,operations_maker,Forensic Analyst (Maker)
checker.global.forensic@worldwidebank.com,Global Surveillance,operations_checker,Forensic Checker (Checker)
