email,name,role,team_name,team_role
account.manager1@merlionmarketing.com,Senior Account Manager,account_manager,,
account.manager2@merlionmarketing.com,Account Manager,account_manager,,
creative.director@merlionmarketing.com,Creative Director,creative_director,,
design.lead@merlionmarketing.com,Design Lead,creative_director,,
brand.director@merlionmarketing.com,Brand Director,creative_director,,
designer@merlionmarketing.com,Senior Designer,content_creator,,
writer@merlionmarketing.com,Content Writer,content_creator,,
video@merlionmarketing.com,Video Producer,content_creator,,
photographer@merlionmarketing.com,Photographer,content_creator,,
seo@merlionmarketing.com,SEO Specialist,marketing_specialist,,
social@merlionmarketing.com,Social Media Manager,marketing_specialist,,
analytics@merlionmarketing.com,Marketing Analyst,marketing_specialist,,
ppc@merlionmarketing.com,PPC Specialist,marketing_specialist,,
